Lines of Code in the pypy subtree
date, number of commits (inaccurate), number of files, number of testfiles, lines of code, lines of testcode
2005-11-23, 66, 683, 232, 152830, 32830
2005-11-22, 52, 683, 232, 152844, 32830
2005-11-21, 26, 683, 232, 152822, 32825
2005-11-19, 40, 683, 232, 152702, 32718
2005-11-18, 41, 683, 232, 152704, 32718
2005-11-17, 77, 683, 232, 152702, 32718
2005-11-16, 30, 682, 232, 152126, 32718
2005-11-15, 47, 683, 232, 152151, 32690
2005-11-14, 24, 683, 232, 152151, 32690
2005-11-13, 40, 683, 232, 152123, 32696
2005-11-12, 44, 683, 232, 152031, 32696
2005-11-11, 19, 683, 232, 152031, 32696
2005-11-10, 37, 683, 231, 151995, 32548
2005-11-09, 53, 681, 231, 152051, 32550
2005-11-08, 35, 681, 231, 152062, 32545
2005-11-07, 42, 681, 231, 152059, 32545
2005-11-06, 33, 681, 231, 152076, 32545
2005-11-05, 16, 681, 231, 152018, 32514
2005-11-04, 31, 681, 231, 151923, 32514
2005-11-03, 37, 681, 231, 151918, 32514
2005-11-02, 55, 681, 231, 151918, 32514
2005-11-01, 17, 681, 231, 151913, 32508
2005-10-31, 106, 681, 231, 151905, 32496
2005-10-30, 93, 681, 231, 151701, 32470
2005-10-29, 60, 684, 231, 151768, 32470
2005-10-28, 35, 684, 231, 151704, 32470
2005-10-27, 41, 684, 230, 151521, 32461
2005-10-26, 49, 697, 230, 156875, 32344
2005-10-25, 70, 697, 229, 156761, 31982
2005-10-24, 80, 698, 229, 156358, 31940
2005-10-23, 48, 698, 230, 156153, 31954
2005-10-22, 9, 698, 230, 156124, 31942
2005-10-21, 8, 698, 230, 156006, 31832
2005-10-20, 16, 696, 230, 155670, 31818
2005-10-19, 35, 696, 230, 155548, 31764
2005-10-18, 35, 695, 229, 155323, 31407
2005-10-17, 22, 693, 228, 155558, 31306
2005-10-16, 31, 693, 228, 155503, 31283
2005-10-15, 30, 688, 226, 155217, 31128
2005-10-14, 72, 681, 224, 154456, 30886
2005-10-13, 69, 662, 217, 153234, 30314
2005-10-12, 13, 663, 217, 153415, 30315
2005-10-11, 72, 657, 216, 152893, 30132
2005-10-10, 78, 652, 216, 152248, 29917
2005-10-09, 42, 629, 201, 150340, 28002
2005-10-08, 6, 629, 201, 150336, 28002
2005-10-07, 32, 629, 201, 150310, 27981
2005-10-06, 42, 629, 200, 150147, 27867
2005-10-05, 27, 648, 202, 161650, 28403
2005-10-04, 33, 650, 202, 161652, 28325
2005-10-03, 62, 648, 201, 161470, 28231
2005-10-02, 27, 647, 201, 161405, 28148
2005-10-01, 14, 643, 199, 161217, 28060
2005-09-30, 46, 644, 200, 161908, 28024
2005-09-29, 37, 645, 199, 161926, 27969
2005-09-28, 25, 645, 199, 161945, 27912
2005-09-27, 41, 645, 200, 161746, 27929
2005-09-26, 35, 641, 199, 161707, 27865
2005-09-25, 23, 638, 195, 161178, 27660
2005-09-24, 19, 638, 195, 161159, 27660
2005-09-23, 46, 638, 196, 161014, 27616
2005-09-22, 31, 637, 196, 160766, 27591
2005-09-21, 15, 636, 196, 160716, 27585
2005-09-20, 49, 635, 196, 160520, 27565
2005-09-19, 35, 635, 196, 160423, 27449
2005-09-18, 23, 632, 196, 160256, 27417
2005-09-17, 13, 631, 196, 160147, 27417
2005-09-16, 28, 631, 196, 160250, 27355
2005-09-15, 25, 631, 196, 160186, 27308
2005-09-14, 13, 629, 196, 160100, 27289
2005-09-13, 21, 629, 196, 160295, 27222
2005-09-12, 36, 623, 192, 159914, 27003
2005-09-11, 32, 623, 192, 159590, 26842
2005-09-10, 36, 623, 192, 159474, 26604
2005-09-09, 9, 625, 192, 159532, 26410
2005-09-08, 42, 622, 191, 159095, 26194
2005-09-07, 52, 647, 191, 159089, 26078
2005-09-06, 35, 646, 191, 158929, 26044
2005-09-05, 53, 631, 191, 153175, 25883
2005-09-04, 42, 630, 191, 152749, 25883
2005-09-03, 10, 630, 191, 152637, 25829
2005-09-02, 32, 630, 191, 152608, 25829
2005-09-01, 10, 630, 190, 152432, 25673
2005-08-31, 28, 630, 190, 152475, 25673
2005-08-30, 24, 630, 190, 152432, 25655
2005-08-29, 27, 630, 190, 152082, 25747
2005-08-28, 56, 630, 190, 151807, 25680
2005-08-27, 94, 630, 190, 151828, 25688
2005-08-26, 206, 626, 188, 151296, 25435
2005-08-25, 164, 625, 187, 150138, 25151
2005-08-24, 122, 633, 187, 150268, 24873
2005-08-23, 96, 630, 185, 149698, 24405
2005-08-22, 104, 626, 182, 149110, 24116
2005-08-20, 57, 623, 181, 148620, 23925
2005-08-19, 2, 623, 181, 148620, 23925
2005-08-18, 26, 608, 176, 147807, 23409
2005-08-17, 30, 607, 176, 147700, 23385
2005-08-16, 21, 607, 176, 147613, 23353
2005-08-15, 11, 606, 175, 147602, 23349
2005-08-14, 22, 605, 175, 147325, 23329
2005-08-13, 15, 605, 175, 147307, 23316
2005-08-12, 31, 605, 175, 147266, 23259
2005-08-11, 33, 605, 175, 146795, 23113
2005-08-10, 45, 601, 173, 146311, 22828
2005-08-09, 65, 596, 171, 145674, 21822
2005-08-08, 86, 594, 171, 145076, 21661
2005-08-07, 38, 591, 169, 144812, 21489
2005-08-06, 13, 590, 169, 144699, 21466
2005-08-05, 32, 589, 168, 144471, 21098
2005-08-04, 56, 588, 167, 144278, 20895
2005-08-03, 77, 583, 167, 143636, 20718
2005-08-02, 51, 574, 165, 141678, 19969
2005-07-31, 29, 573, 164, 140413, 19866
2005-07-30, 51, 571, 161, 140023, 19365
2005-07-29, 52, 565, 157, 139511, 19128
2005-07-28, 88, 557, 156, 139093, 18793
2005-07-27, 93, 544, 155, 135175, 18670
2005-07-26, 64, 541, 154, 134555, 18519
2005-07-25, 68, 534, 154, 133921, 18324
2005-07-24, 91, 527, 149, 133359, 18035
2005-07-23, 8, 527, 149, 133322, 18020
2005-07-22, 35, 527, 149, 133289, 18016
2005-07-21, 44, 527, 148, 133068, 17799
2005-07-20, 69, 526, 144, 132758, 17419
2005-07-19, 44, 523, 144, 132611, 17276
2005-07-18, 36, 541, 149, 135877, 17663
2005-07-15, 33, 538, 148, 135695, 17468
2005-07-14, 42, 537, 148, 135576, 17401
2005-07-13, 30, 536, 148, 135456, 17254
2005-07-12, 48, 536, 148, 134835, 17106
2005-07-11, 71, 535, 148, 134472, 16944
2005-07-10, 55, 535, 148, 134279, 16770
2005-07-09, 19, 531, 147, 134189, 16711
2005-07-07, 14, 531, 147, 134141, 16707
2005-07-06, 75, 528, 143, 133732, 16589
2005-07-05, 48, 524, 141, 132622, 16446
2005-07-04, 61, 507, 141, 127161, 16176
2005-07-03, 36, 507, 141, 126972, 16148
2005-07-02, 107, 472, 138, 114021, 15697
2005-07-01, 43, 472, 137, 114035, 15625
2005-06-30, 50, 471, 137, 113952, 15603
2005-06-29, 9, 471, 137, 113952, 15603
2005-06-28, 6, 470, 137, 113886, 15562
2005-06-26, 17, 470, 137, 113883, 15561
2005-06-25, 86, 470, 137, 113704, 15474
2005-06-24, 76, 469, 136, 113296, 15214
2005-06-23, 75, 473, 135, 114363, 15004
2005-06-22, 63, 472, 134, 113623, 14689
2005-06-21, 13, 472, 134, 113628, 14678
2005-06-20, 32, 470, 134, 113060, 14432
2005-06-19, 37, 468, 133, 112774, 14332
2005-06-18, 18, 466, 131, 112462, 14266
2005-06-17, 21, 455, 130, 111660, 14165
2005-06-16, 67, 455, 130, 111272, 13979
2005-06-15, 43, 456, 130, 111031, 13891
2005-06-14, 43, 457, 130, 111088, 13725
2005-06-13, 52, 474, 127, 112895, 13446
2005-06-12, 39, 474, 126, 112856, 13332
2005-06-11, 20, 473, 126, 112825, 13178
2005-06-10, 13, 473, 125, 112796, 13151
2005-06-09, 38, 472, 124, 112505, 13115
2005-06-08, 49, 471, 125, 113246, 12999
2005-06-07, 39, 469, 124, 104662, 12955
2005-06-06, 38, 469, 124, 104657, 12995
2005-06-05, 46, 462, 122, 103949, 12880
2005-06-04, 19, 459, 123, 102228, 13525
2005-06-03, 21, 458, 122, 101734, 13461
2005-06-02, 19, 458, 122, 101619, 13444
2005-06-01, 37, 457, 121, 101442, 13353
2005-05-31, 27, 457, 120, 100942, 13201
2005-05-30, 48, 454, 118, 100321, 13014
2005-05-29, 38, 453, 114, 100002, 12811
2005-05-28, 13, 452, 114, 99760, 12742
2005-05-27, 2, 452, 114, 99874, 12742
2005-05-26, 35, 448, 114, 99681, 12701
2005-05-25, 28, 448, 114, 99295, 12693
2005-05-24, 19, 446, 114, 99080, 12693
2005-05-23, 24, 440, 113, 98647, 12664
2005-05-22, 26, 434, 113, 73426, 12608
2005-05-21, 7, 436, 113, 73363, 12587
2005-05-20, 27, 425, 112, 71816, 12433
2005-05-19, 106, 425, 112, 71673, 12429
2005-05-18, 90, 426, 112, 79865, 12413
2005-05-17, 75, 385, 115, 66595, 13184
2005-05-16, 27, 385, 115, 66562, 13121
2005-05-15, 60, 386, 115, 66548, 13088
2005-05-14, 64, 375, 114, 64917, 12761
2005-05-13, 22, 375, 114, 64811, 12749
2005-05-12, 21, 374, 113, 64790, 12735
2005-05-11, 23, 372, 111, 64484, 12685
2005-05-10, 38, 371, 110, 64144, 12557
2005-05-09, 26, 368, 108, 63755, 12352
2005-05-08, 44, 367, 108, 63690, 12349
2005-05-07, 42, 367, 107, 63552, 12329
2005-05-06, 8, 367, 107, 63489, 12329
2005-05-05, 50, 367, 107, 63428, 12267
2005-05-04, 48, 366, 106, 63289, 12171
2005-05-03, 40, 366, 106, 63010, 12163
2005-05-02, 82, 364, 105, 62628, 12096
2005-05-01, 79, 357, 104, 62128, 11466
2005-04-30, 68, 368, 113, 63937, 16140
2005-04-29, 44, 368, 112, 63797, 15974
2005-04-28, 28, 365, 110, 61815, 15250
2005-04-27, 50, 365, 110, 61763, 15262
2005-04-26, 63, 363, 110, 60919, 15192
2005-04-25, 57, 342, 129, 60595, 15369
2005-04-24, 22, 327, 104, 58807, 14955
2005-04-23, 8, 325, 104, 58565, 14939
2005-04-22, 360, 325, 104, 58565, 14939
2005-04-21, 23, 325, 104, 58521, 14898
2005-04-20, 81, 325, 103, 58504, 14881
2005-04-19, 48, 326, 101, 59131, 14097
2005-04-18, 58, 326, 101, 59087, 14047
2005-04-17, 34, 326, 101, 59013, 14000
2005-04-16, 50, 323, 100, 59050, 13979
2005-04-15, 38, 322, 100, 58914, 13931
2005-04-14, 53, 321, 100, 58819, 13856
2005-04-13, 66, 317, 97, 58464, 13699
2005-04-12, 29, 316, 97, 58127, 13668
2005-04-11, 33, 313, 96, 57717, 13522
2005-04-10, 9, 311, 97, 57578, 13545
2005-04-09, 27, 310, 97, 57270, 13538
2005-04-08, 15, 310, 97, 57306, 13520
2005-04-07, 64, 310, 97, 56983, 13422
2005-04-06, 35, 310, 97, 56885, 13380
2005-04-05, 33, 310, 97, 56748, 13356
2005-04-04, 46, 310, 97, 56579, 13340
2005-04-03, 31, 309, 97, 56272, 13325
2005-04-02, 15, 305, 97, 56072, 13325
2005-04-01, 20, 297, 97, 55751, 13280
2005-03-31, 36, 291, 97, 54997, 13276
2005-03-30, 14, 290, 97, 54890, 13167
2005-03-29, 25, 290, 97, 54788, 13157
2005-03-28, 15, 289, 96, 54272, 13111
2005-03-27, 5, 289, 96, 54216, 13108
2005-03-24, 10, 289, 96, 54198, 13096
2005-03-23, 3, 289, 96, 54091, 13093
2005-03-22, 35, 288, 97, 54019, 15607
2005-03-21, 56, 276, 95, 50164, 15056
2005-03-20, 71, 272, 94, 50569, 15353
2005-03-19, 64, 267, 90, 48756, 11768
2005-03-17, 19, 266, 90, 48791, 11755
2005-03-15, 43, 265, 90, 48683, 11755
2005-03-14, 51, 265, 90, 48645, 11755
2005-03-13, 39, 265, 90, 48629, 11754
2005-03-12, 4, 265, 90, 48605, 11671
2005-03-11, 2, 265, 90, 48566, 11653
2005-03-10, 21, 265, 90, 48463, 11638
2005-03-06, 7, 264, 90, 47912, 11638
2005-03-05, 53, 264, 90, 47888, 11628
2005-03-04, 18, 264, 90, 47719, 11596
2005-03-03, 28, 264, 90, 47863, 11666
2005-03-02, 30, 264, 90, 47765, 11661
2005-03-01, 19, 263, 90, 47635, 11565
2005-02-28, 42, 263, 90, 47752, 11643
2005-02-27, 11, 262, 90, 47624, 11627
2005-02-26, 1, 262, 90, 47624, 11627
2005-02-25, 4, 262, 90, 47623, 11627
2005-02-24, 16, 261, 89, 47429, 11567
2005-02-23, 28, 259, 89, 47309, 11563
2005-02-22, 19, 259, 89, 47252, 11557
2005-02-21, 55, 259, 88, 47207, 11362
2005-02-19, 28, 259, 88, 47139, 11363
2005-02-18, 40, 244, 88, 46949, 11283
2005-02-17, 28, 244, 87, 46971, 11167
2005-02-16, 41, 244, 87, 46912, 11167
2005-02-15, 20, 244, 87, 46912, 11167
2005-02-14, 16, 243, 87, 46513, 11092
2005-02-13, 31, 243, 87, 46454, 11085
2005-02-13, 1, 243, 87, 46454, 11085
2005-02-13, 1, 243, 87, 46454, 11085
2005-02-11, 43, 242, 87, 43929, 11085
2005-02-10, 51, 242, 86, 43918, 11075
2005-02-09, 57, 240, 85, 37442, 11055
2005-02-08, 20, 240, 85, 37341, 11046
2005-02-07, 53, 240, 85, 37299, 11031
2005-02-06, 30, 239, 85, 37347, 11064
2005-02-05, 13, 231, 84, 36551, 10929
2005-02-04, 36, 231, 84, 36471, 10929
2005-02-03, 42, 232, 83, 37045, 10890
2005-02-02, 33, 232, 83, 36931, 10843
2005-02-01, 20, 231, 82, 36390, 10292
2005-01-31, 15, 228, 82, 35541, 10266
2005-01-30, 25, 228, 82, 35430, 10266
2005-01-29, 14, 228, 82, 35440, 10266
2005-01-28, 62, 232, 80, 35443, 9696
2005-01-27, 33, 211, 79, 31118, 9024
2005-01-26, 28, 225, 80, 33547, 9492
2005-01-25, 31, 225, 80, 33281, 9335
2005-01-24, 57, 224, 78, 32679, 8707
2005-01-23, 19, 224, 78, 32486, 8707
2005-01-22, 33, 224, 78, 32108, 8555
2005-01-20, 11, 224, 78, 32091, 8560
2005-01-19, 27, 224, 78, 32110, 8543
2005-01-18, 32, 224, 77, 32110, 8166
2005-01-17, 50, 224, 77, 32110, 8166
2005-01-16, 33, 224, 77, 32108, 8165
2005-01-15, 6, 224, 77, 32108, 8154
2005-01-14, 32, 224, 77, 32103, 8154
2005-01-13, 11, 224, 77, 32095, 8154
2005-01-12, 21, 224, 77, 32119, 8145
2005-01-11, 29, 218, 76, 30569, 8097
2005-01-10, 24, 218, 76, 30702, 8130
2005-01-09, 9, 218, 76, 30701, 8248
2005-01-08, 14, 218, 76, 30701, 8256
2005-01-03, 17, 218, 76, 30565, 8352
2005-01-02, 117, 218, 76, 30565, 8357
2005-01-01, 6, 218, 76, 30565, 8357
2004-12-30, 14, 218, 76, 30860, 8378
2004-12-27, 19, 218, 76, 30860, 8375
2004-12-24, 6, 218, 76, 30812, 8383
2004-12-22, 14, 218, 75, 30939, 8352
2004-12-20, 15, 218, 75, 30881, 8352
2004-12-19, 27, 218, 75, 30881, 8352
