Number of files in the pypy subtree
number of files,  number of non-test files,  number of testfiles
2003-02-19, 8, 0
2003-02-20, 10, 1
2003-02-21, 29, 5
2003-02-22, 30, 4
2003-02-23, 49, 12
2003-02-24, 49, 12
2003-02-25, 48, 12
2003-02-26, 48, 12
2003-02-27, 48, 12
2003-02-28, 48, 12
2003-03-01, 48, 12
2003-03-03, 48, 13
2003-03-04, 48, 13
2003-03-18, 48, 13
2003-04-06, 48, 13
2003-04-11, 48, 13
2003-04-18, 48, 14
2003-04-19, 48, 15
2003-05-22, 48, 15
2003-05-25, 48, 15
2003-05-26, 52, 19
2003-05-27, 59, 26
2003-05-28, 70, 27
2003-05-29, 71, 26
2003-05-30, 75, 37
2003-05-31, 87, 37
2003-06-01, 92, 37
2003-06-02, 92, 37
2003-06-05, 92, 37
2003-06-06, 93, 37
2003-06-07, 93, 37
2003-06-08, 92, 37
2003-06-09, 92, 37
2003-06-13, 92, 37
2003-06-14, 93, 37
2003-06-15, 93, 37
2003-06-16, 94, 37
2003-06-17, 94, 37
2003-06-18, 94, 37
2003-06-19, 92, 37
2003-06-20, 92, 37
2003-06-21, 92, 37
2003-06-22, 98, 40
2003-06-23, 102, 42
2003-06-24, 103, 43
2003-06-28, 104, 43
2003-06-29, 104, 43
2003-06-30, 104, 43
2003-07-01, 104, 43
2003-07-02, 104, 43
2003-07-03, 104, 43
2003-07-04, 104, 43
2003-07-06, 104, 43
2003-07-07, 104, 43
2003-07-08, 106, 43
2003-07-10, 106, 43
2003-07-12, 106, 43
2003-07-13, 106, 43
2003-07-14, 106, 43
2003-07-15, 106, 43
2003-07-16, 106, 43
2003-07-17, 106, 43
2003-07-18, 106, 43
2003-07-19, 106, 43
2003-07-24, 106, 43
2003-07-26, 106, 43
2003-07-27, 106, 43
2003-07-28, 106, 43
2003-07-29, 106, 43
2003-07-30, 106, 43
2003-07-31, 106, 43
2003-08-01, 106, 43
2003-08-02, 106, 43
2003-08-06, 106, 43
2003-08-07, 106, 43
2003-08-09, 106, 43
2003-08-10, 106, 43
2003-08-17, 106, 43
2003-08-24, 106, 43
2003-08-25, 106, 43
2003-09-02, 106, 43
2003-09-07, 106, 43
2003-09-08, 106, 43
2003-09-09, 106, 43
2003-09-10, 106, 43
2003-09-12, 106, 43
2003-09-13, 106, 43
2003-09-14, 106, 43
2003-09-15, 106, 43
2003-09-16, 106, 43
2003-09-17, 106, 43
2003-09-18, 108, 42
2003-09-19, 108, 42
2003-09-20, 108, 42
2003-09-21, 108, 42
2003-09-22, 108, 42
2003-09-23, 108, 46
2003-09-25, 108, 46
2003-09-26, 108, 46
2003-09-28, 108, 46
2003-09-29, 108, 46
2003-09-30, 118, 48
2003-10-01, 121, 49
2003-10-02, 124, 53
2003-10-03, 124, 53
2003-10-04, 124, 53
2003-10-05, 118, 52
2003-10-06, 118, 52
2003-10-07, 118, 52
2003-10-08, 118, 52
2003-10-09, 118, 52
2003-10-10, 122, 53
2003-10-11, 123, 54
2003-10-12, 123, 54
2003-10-13, 123, 54
2003-10-14, 123, 54
2003-10-15, 123, 54
2003-10-16, 124, 54
2003-10-17, 125, 54
2003-10-18, 126, 54
2003-10-20, 126, 54
2003-10-21, 126, 54
2003-10-23, 126, 54
2003-10-24, 127, 54
2003-10-25, 127, 54
2003-10-26, 130, 54
2003-10-27, 131, 53
2003-10-28, 131, 53
2003-10-29, 131, 53
2003-10-30, 131, 53
2003-10-31, 131, 53
2003-11-03, 130, 53
2003-11-04, 130, 53
2003-11-05, 130, 53
2003-11-10, 130, 53
2003-11-11, 131, 54
2003-11-13, 131, 54
2003-11-14, 131, 54
2003-11-17, 131, 54
2003-11-18, 131, 55
2003-11-19, 131, 54
2003-11-20, 131, 54
2003-11-21, 131, 54
2003-11-22, 131, 54
2003-11-24, 130, 55
2003-11-25, 130, 55
2003-11-26, 129, 55
2003-11-27, 133, 55
2003-11-28, 133, 55
2003-11-29, 133, 55
2003-11-30, 140, 55
2003-12-01, 140, 55
2003-12-02, 140, 55
2003-12-03, 140, 55
2003-12-04, 140, 55
2003-12-08, 140, 55
2003-12-09, 140, 55
2003-12-10, 140, 55
2003-12-11, 140, 55
2003-12-12, 140, 55
2003-12-13, 140, 55
2003-12-15, 140, 55
2003-12-16, 145, 55
2003-12-17, 147, 56
2003-12-18, 149, 57
2003-12-19, 156, 57
2003-12-20, 159, 58
2003-12-21, 161, 58
2003-12-22, 161, 58
2003-12-23, 161, 58
2003-12-24, 162, 58
2003-12-27, 162, 58
2003-12-28, 162, 58
2003-12-29, 162, 58
2003-12-31, 162, 58
2004-01-01, 165, 59
2004-01-02, 165, 59
2004-01-05, 165, 59
2004-01-06, 160, 59
2004-01-07, 160, 59
2004-01-08, 160, 59
2004-01-09, 161, 59
2004-01-10, 161, 59
2004-01-11, 161, 59
2004-01-12, 161, 59
2004-01-13, 161, 59
2004-01-14, 161, 59
2004-01-15, 161, 59
2004-01-16, 161, 59
2004-01-17, 161, 59
2004-01-18, 161, 59
2004-01-19, 161, 59
2004-01-20, 161, 59
2004-01-21, 161, 59
2004-01-22, 161, 59
2004-01-23, 161, 59
2004-01-26, 161, 59
2004-01-27, 161, 59
2004-01-28, 161, 59
2004-01-29, 161, 59
2004-01-30, 161, 59
2004-02-02, 161, 59
2004-02-03, 161, 59
2004-02-04, 161, 59
2004-02-05, 161, 59
2004-02-07, 161, 59
2004-02-08, 161, 59
2004-02-09, 161, 59
2004-02-10, 161, 59
2004-02-11, 161, 59
2004-02-12, 161, 59
2004-02-13, 161, 59
2004-02-14, 161, 59
2004-02-15, 161, 59
2004-02-16, 161, 59
2004-02-19, 161, 59
2004-02-20, 161, 59
2004-02-21, 161, 59
2004-02-23, 161, 59
2004-02-24, 161, 59
2004-02-25, 161, 59
2004-02-26, 161, 59
2004-02-27, 161, 59
2004-02-28, 161, 59
2004-02-29, 161, 59
2004-03-01, 161, 59
2004-03-02, 161, 59
2004-03-03, 161, 59
2004-03-04, 161, 59
2004-03-05, 161, 59
2004-03-06, 161, 59
2004-03-07, 161, 59
2004-03-08, 161, 59
2004-03-09, 161, 59
2004-03-10, 161, 59
2004-03-11, 161, 59
2004-03-12, 161, 59
2004-03-13, 161, 59
2004-03-14, 161, 59
2004-03-16, 161, 59
2004-03-17, 161, 59
2004-03-18, 161, 59
2004-03-19, 161, 59
2004-03-21, 161, 59
2004-03-22, 161, 59
2004-03-23, 161, 59
2004-03-24, 162, 59
2004-03-25, 162, 59
2004-03-26, 162, 59
2004-03-28, 162, 59
2004-03-29, 161, 59
2004-03-30, 161, 59
2004-03-31, 161, 59
2004-04-01, 161, 59
2004-04-02, 161, 59
2004-04-03, 161, 59
2004-04-04, 161, 59
2004-04-05, 161, 59
2004-04-06, 161, 59
2004-04-07, 161, 59
2004-04-08, 161, 59
2004-04-09, 161, 59
2004-04-10, 161, 59
2004-04-11, 161, 59
2004-04-13, 161, 59
2004-04-14, 161, 59
2004-04-15, 161, 59
2004-04-16, 161, 59
2004-04-17, 161, 59
2004-04-18, 161, 59
2004-04-19, 161, 59
2004-04-20, 161, 59
2004-04-21, 161, 59
2004-04-22, 161, 59
2004-04-23, 161, 59
2004-04-24, 161, 59
2004-04-25, 161, 59
2004-04-26, 161, 59
2004-04-27, 161, 59
2004-04-28, 161, 59
2004-04-29, 161, 59
2004-04-30, 161, 59
2004-05-01, 161, 59
2004-05-02, 161, 59
2004-05-03, 161, 59
2004-05-04, 161, 59
2004-05-05, 161, 59
2004-05-06, 161, 59
2004-05-07, 164, 59
2004-05-08, 165, 59
2004-05-09, 165, 59
2004-05-10, 165, 59
2004-05-11, 165, 59
2004-05-12, 167, 59
2004-05-13, 167, 59
2004-05-14, 167, 59
2004-05-15, 167, 59
2004-05-16, 167, 59
2004-05-17, 167, 59
2004-05-18, 167, 59
2004-05-19, 167, 59
2004-05-20, 167, 59
2004-05-21, 167, 59
2004-05-22, 167, 59
2004-05-23, 167, 59
2004-05-24, 167, 59
2004-05-25, 167, 59
2004-05-26, 167, 59
2004-05-27, 167, 59
2004-05-28, 168, 59
2004-05-29, 168, 59
2004-05-30, 168, 59
2004-05-31, 168, 59
2004-06-01, 176, 61
2004-06-02, 188, 63
2004-06-03, 188, 63
2004-06-04, 188, 63
2004-06-05, 190, 63
2004-06-06, 190, 63
