Number of files in the pypy subtree
date,  number of files,  number of testfiles
2005/11/23, 683, 232
2005/11/22, 683, 232
2005/11/21, 683, 232
2005/11/19, 683, 232
2005/11/18, 683, 232
2005/11/17, 683, 232
2005/11/16, 682, 232
2005/11/15, 683, 232
2005/11/14, 683, 232
2005/11/13, 683, 232
2005/11/12, 683, 232
2005/11/11, 683, 232
2005/11/10, 683, 231
2005/11/09, 681, 231
2005/11/08, 681, 231
2005/11/07, 681, 231
2005/11/06, 681, 231
2005/11/05, 681, 231
2005/11/04, 681, 231
2005/11/03, 681, 231
2005/11/02, 681, 231
2005/11/01, 681, 231
2005/10/31, 681, 231
2005/10/30, 681, 231
2005/10/29, 684, 231
2005/10/28, 684, 231
2005/10/27, 684, 230
2005/10/26, 697, 230
2005/10/25, 697, 229
2005/10/24, 698, 229
2005/10/23, 698, 230
2005/10/22, 698, 230
2005/10/21, 698, 230
2005/10/20, 696, 230
2005/10/19, 696, 230
2005/10/18, 695, 229
2005/10/17, 693, 228
2005/10/16, 693, 228
2005/10/15, 688, 226
2005/10/14, 681, 224
2005/10/13, 662, 217
2005/10/12, 663, 217
2005/10/11, 657, 216
2005/10/10, 652, 216
2005/10/09, 629, 201
2005/10/08, 629, 201
2005/10/07, 629, 201
2005/10/06, 629, 200
2005/10/05, 648, 202
2005/10/04, 650, 202
2005/10/03, 648, 201
2005/10/02, 647, 201
2005/10/01, 643, 199
2005/09/30, 644, 200
2005/09/29, 645, 199
2005/09/28, 645, 199
2005/09/27, 645, 200
2005/09/26, 641, 199
2005/09/25, 638, 195
2005/09/24, 638, 195
2005/09/23, 638, 196
2005/09/22, 637, 196
2005/09/21, 636, 196
2005/09/20, 635, 196
2005/09/19, 635, 196
2005/09/18, 632, 196
2005/09/17, 631, 196
2005/09/16, 631, 196
2005/09/15, 631, 196
2005/09/14, 629, 196
2005/09/13, 629, 196
2005/09/12, 623, 192
2005/09/11, 623, 192
2005/09/10, 623, 192
2005/09/09, 625, 192
2005/09/08, 622, 191
2005/09/07, 647, 191
2005/09/06, 646, 191
2005/09/05, 631, 191
2005/09/04, 630, 191
2005/09/03, 630, 191
2005/09/02, 630, 191
2005/09/01, 630, 190
2005/08/31, 630, 190
2005/08/30, 630, 190
2005/08/29, 630, 190
2005/08/28, 630, 190
2005/08/27, 630, 190
2005/08/26, 626, 188
2005/08/25, 625, 187
2005/08/24, 633, 187
2005/08/23, 630, 185
2005/08/22, 626, 182
2005/08/20, 623, 181
2005/08/19, 623, 181
2005/08/18, 608, 176
2005/08/17, 607, 176
2005/08/16, 607, 176
2005/08/15, 606, 175
2005/08/14, 605, 175
2005/08/13, 605, 175
2005/08/12, 605, 175
2005/08/11, 605, 175
2005/08/10, 601, 173
2005/08/09, 596, 171
2005/08/08, 594, 171
2005/08/07, 591, 169
2005/08/06, 590, 169
2005/08/05, 589, 168
2005/08/04, 588, 167
2005/08/03, 583, 167
2005/08/02, 574, 165
2005/07/31, 573, 164
2005/07/30, 571, 161
2005/07/29, 565, 157
2005/07/28, 557, 156
2005/07/27, 544, 155
2005/07/26, 541, 154
2005/07/25, 534, 154
2005/07/24, 527, 149
2005/07/23, 527, 149
2005/07/22, 527, 149
2005/07/21, 527, 148
2005/07/20, 526, 144
2005/07/19, 523, 144
2005/07/18, 541, 149
2005/07/15, 538, 148
2005/07/14, 537, 148
2005/07/13, 536, 148
2005/07/12, 536, 148
2005/07/11, 535, 148
2005/07/10, 535, 148
2005/07/09, 531, 147
2005/07/07, 531, 147
2005/07/06, 528, 143
2005/07/05, 524, 141
2005/07/04, 507, 141
2005/07/03, 507, 141
2005/07/02, 472, 138
2005/07/01, 472, 137
2005/06/30, 471, 137
