Posts to mailing lists
month, pypy-dev, pypy-svn
2003-2, 371, 0
2003-3, 187, 0
2003-4, 76, 0
2003-5, 36, 0
2003-6, 32, 304
2003-7, 115, 301
2003-8, 101, 46
2003-9, 24, 7
2003-10, 115, 200
2003-11, 112, 579
2003-12, 49, 52
2004-1, 62, 380
2004-2, 49, 18
2004-3, 29, 5
2004-4, 13, 68
2004-5, 55, 200
2004-6, 24, 82
2004-7, 52, 332
2004-8, 80, 107
2004-9, 38, 23
2004-10, 23, 44
2004-11, 11, 14
2004-12, 79, 400
2005-1, 58, 77
2005-2, 71, 371
2005-3, 95, 358
2005-4, 54, 342
2005-5, 66, 472
2005-6, 108, 731
2005-7, 54, 732
2005-8, 71, 922
2005-9, 68, 1038
2005-10, 162, 559
2005-11, 109, 737
