pypy-svn
date, number of subscribers
2003-5-26, 5
2003-5-27, 7
2003-5-30, 8
2003-6-1, 9
2003-6-5, 9
2003-6-10, 9
2003-6-11, 9
2003-6-12, 10
2003-6-14, 11
2003-6-15, 11
2003-6-16, 11
2003-6-18, 11
2003-6-20, 11
2003-6-21, 11
2003-6-26, 11
2003-6-27, 12
2003-6-30, 12
2003-7-1, 13
2003-7-2, 13
2003-7-3, 13
2003-7-5, 13
2003-7-6, 14
2003-7-7, 13
2003-7-10, 13
2003-7-13, 13
2003-7-14, 13
2003-7-15, 13
2003-7-16, 13
2003-7-17, 13
2003-7-18, 13
2003-7-20, 13
2003-7-22, 13
2003-7-23, 13
2003-7-24, 13
2003-7-26, 13
2003-7-27, 13
2003-8-1, 13
2003-8-2, 13
2003-8-4, 13
2003-8-7, 13
2003-8-8, 13
2003-8-9, 13
2003-8-10, 13
2003-8-11, 13
2003-8-12, 13
2003-8-22, 13
2003-8-23, 13
2003-8-24, 13
2003-8-27, 13
2003-8-28, 13
2003-8-29, 13
2003-9-1, 13
2003-9-2, 13
2003-9-3, 13
2003-9-4, 13
2003-9-8, 13
2003-9-11, 13
2003-9-12, 13
2003-9-14, 13
2003-9-15, 13
2003-9-17, 13
2003-9-18, 13
2003-9-19, 13
2003-9-20, 13
2003-9-21, 13
2003-9-22, 13
2003-9-23, 13
2003-9-24, 13
2003-9-25, 13
2003-9-26, 13
2003-9-27, 14
2003-9-28, 14
2003-9-30, 14
2003-10-2, 14
2003-10-6, 14
2003-10-7, 14
2003-10-8, 14
2003-10-9, 14
2003-10-10, 14
2003-10-11, 15
2003-10-12, 15
2003-10-13, 15
2003-10-14, 15
2003-10-15, 15
2003-10-16, 15
2003-10-17, 16
2003-10-18, 16
2003-10-19, 16
2003-10-20, 16
2003-10-21, 16
2003-10-23, 16
2003-10-24, 16
2003-10-26, 16
2003-10-27, 16
2003-10-28, 16
2003-10-29, 16
2003-10-30, 16
2003-11-3, 16
2003-11-4, 16
2003-11-5, 16
2003-11-6, 17
2003-11-7, 17
2003-11-8, 17
2003-11-10, 17
2003-11-12, 17
2003-11-16, 17
2003-11-17, 17
2003-11-18, 17
2003-11-21, 17
2003-11-22, 17
2003-11-23, 17
2003-11-28, 17
2003-11-29, 17
2003-11-30, 17
2003-12-1, 17
2003-12-3, 17
2003-12-8, 17
2003-12-11, 17
2003-12-12, 17
2003-12-14, 17
2003-12-16, 17
2003-12-17, 17
2003-12-18, 17
2003-12-24, 17
2003-12-27, 17
2003-12-28, 17
2003-12-30, 17
2004-1-5, 17
2004-1-6, 17
2004-1-11, 17
2004-1-12, 17
2004-1-13, 17
2004-1-16, 17
2004-1-18, 17
2004-1-20, 17
2004-1-21, 17
2004-1-27, 17
2004-1-28, 17
2004-1-29, 17
2004-2-3, 17
2004-2-4, 17
2004-2-5, 17
2004-2-10, 17
2004-2-11, 17
2004-2-12, 17
2004-2-13, 17
2004-2-22, 17
2004-2-23, 17
2004-2-26, 17
2004-3-1, 17
2004-3-2, 17
2004-3-5, 17
2004-3-8, 17
2004-3-9, 17
2004-3-22, 17
2004-3-24, 17
2004-3-25, 18
2004-3-26, 18
2004-3-28, 18
2004-3-29, 18
2004-3-30, 18
2004-3-31, 18
2004-4-3, 18
2004-4-4, 19
2004-4-7, 20
2004-4-8, 20
2004-4-9, 20
2004-4-12, 20
2004-4-13, 20
2004-4-14, 20
2004-4-15, 19
2004-4-17, 19
2004-4-19, 19
2004-4-20, 19
2004-4-21, 19
2004-4-22, 19
2004-4-23, 19
2004-4-24, 19
2004-4-26, 19
2004-4-27, 19
2004-4-28, 19
2004-4-29, 19
2004-4-30, 19
2004-5-5, 19
2004-5-10, 19
2004-5-11, 18
2004-5-12, 18
2004-5-14, 18
2004-5-15, 18
2004-5-16, 18
2004-5-19, 18
2004-5-24, 19
2004-5-26, 19
2004-5-27, 19
2004-5-28, 19
2004-5-29, 19
2004-5-30, 19
2004-6-1, 19
2004-6-2, 18
2004-6-5, 19
2004-6-8, 19
2004-6-15, 19
2004-6-16, 19
2004-6-17, 19
2004-6-18, 19
2004-6-19, 19
2004-6-20, 19
2004-6-21, 19
2004-6-22, 19
