PyPy sprints
location, begin, end
"Hildesheim",2003-02-17,2003-02-23
"Gothenburg",2003-05-24,2003-05-31
"LovainLaNeuve",2003-06-21,2003-06-24
"Berlin",2003-09-29,2003-10-04
"Amsterdam",2003-12-14,2003-12-21
"Europython/Gothenburg",2004-06-01,2004-06-07
"Vilnius",2004-11-15,2004-11-23
"Leysin",2005-01-22,2005-01-29
"PyCon/Washington",2005-03-19,2005-03-22
"Europython/Gothenburg",2005-07-01,2005-07-07
"Hildesheim",2005-07-25,2005-07-31
"Heidelberg",2005-08-22,2005-08-29
"Paris",2005-10-10,2005-10-16
