PyPy sprints
location, begin, end
"Hildesheim",2003-02-17,2003-02-23
"Gothenburg",2003-05-24,2003-05-31
"LovainLaNeuve",2003-06-21,2003-06-24
"Berlin",2003-09-29,2003-10-04
"Amsterdam",2003-12-14,2003-12-21
"Europython/Gothenburg",2004-06-01,2004-06-07
"Vilnius",2004-11-15,2004-11-23
"Leysin",2005-01-22,2005-01-29
"PyCon/Washington",2005-03-19,2005-03-22
"Europython/Gothenburg",2005-07-01,2005-07-07
"Hildesheim",2005-07-25,2005-07-31
"Heidelberg",2005-08-22,2005-08-29
"Paris",2005-10-10,2005-10-16
"Gothenburg",2005-12-05,2005-12-11
"Mallorca",2006-01-23,2006-01-29
"Pycon/Dallas",2006-02-27,2006-03-02
"Louvain-la-Neuve",2006-03-06,2006-03-10
"Japan",2006-04-23,2006-04-29
"Duesseldorf",2006-06-02,2006-06-09
"Europython/Genf",2006-07-06,2006-07-09
"Limerick",2006-08-21,2006-08-27
"Duesseldorf",2006-10-30,2006-11-05
"Leysin",2007-01-08,2007-01-14
"Hildesheim",2007-03-01,2007-03-05
