number of subscribers
number of subscribers, pypy-dev, pypy-svn
2003/01/06, 1, 0
2003/01/07, 2, 0
2003/01/09, 3, 0
2003/01/10, 37, 0
2003/01/11, 63, 0
2003/01/12, 74, 0
2003/01/13, 82, 0
2003/01/14, 92, 0
2003/01/15, 100, 0
2003/01/16, 107, 0
2003/01/17, 116, 0
2003/01/18, 119, 0
2003/01/19, 120, 0
2003/01/20, 122, 0
2003/01/21, 123, 0
2003/01/22, 120, 0
2003/01/23, 122, 0
2003/01/24, 124, 0
2003/01/25, 125, 0
2003/01/26, 125, 0
2003/01/27, 127, 0
2003/01/28, 126, 0
2003/01/29, 129, 0
2003/01/30, 131, 0
2003/01/31, 132, 0
2003/02/01, 132, 0
2003/02/02, 133, 0
2003/02/04, 134, 0
2003/02/05, 134, 0
2003/02/06, 135, 0
2003/02/07, 135, 0
2003/02/08, 136, 0
2003/02/09, 137, 0
2003/02/10, 142, 0
2003/02/11, 141, 0
2003/02/12, 142, 0
2003/02/13, 142, 0
2003/02/14, 145, 0
2003/02/15, 144, 0
2003/02/16, 145, 0
2003/02/18, 145, 0
2003/02/19, 145, 0
2003/02/20, 146, 0
2003/02/22, 147, 0
2003/02/24, 147, 0
2003/02/25, 147, 0
2003/02/26, 146, 0
2003/02/27, 147, 0
2003/02/28, 144, 0
2003/03/02, 143, 0
2003/03/03, 143, 0
2003/03/05, 142, 0
2003/03/06, 140, 0
2003/03/07, 138, 0
2003/03/09, 137, 0
2003/03/11, 137, 0
2003/03/15, 136, 0
2003/03/20, 136, 0
2003/03/23, 137, 0
2003/03/26, 137, 0
2003/03/27, 137, 0
2003/03/28, 137, 0
2003/04/02, 138, 0
2003/04/03, 139, 0
2003/04/09, 140, 0
2003/04/11, 141, 0
2003/04/14, 142, 0
2003/04/15, 142, 0
2003/04/16, 142, 0
2003/04/20, 142, 0
2003/04/24, 142, 0
2003/04/25, 141, 0
2003/04/30, 141, 0
2003/05/05, 141, 0
2003/05/06, 140, 0
2003/05/08, 140, 0
2003/05/12, 139, 0
2003/05/13, 139, 0
2003/05/14, 139, 0
2003/05/16, 140, 0
2003/05/17, 141, 0
2003/05/20, 141, 0
2003/05/21, 140, 0
2003/05/23, 140, 0
2003/05/24, 141, 0
2003/05/26, 139, 5
2003/05/27, 139, 7
2003/05/30, 139, 8
2003/06/01, 139, 9
2003/06/05, 138, 9
2003/06/10, 140, 9
2003/06/11, 139, 9
2003/06/12, 141, 10
2003/06/14, 141, 11
2003/06/15, 141, 11
2003/06/16, 141, 11
2003/06/18, 140, 11
2003/06/20, 139, 11
2003/06/21, 138, 11
2003/06/26, 137, 11
2003/06/27, 138, 12
2003/06/30, 138, 12
2003/07/01, 139, 13
2003/07/02, 139, 13
2003/07/03, 138, 13
2003/07/05, 138, 13
2003/07/06, 138, 14
2003/07/07, 138, 13
2003/07/10, 138, 13
2003/07/13, 138, 13
2003/07/14, 138, 13
2003/07/15, 137, 13
2003/07/16, 137, 13
2003/07/17, 136, 13
2003/07/18, 136, 13
2003/07/20, 135, 13
2003/07/22, 135, 13
2003/07/23, 135, 13
2003/07/24, 135, 13
2003/07/26, 134, 13
2003/07/27, 134, 13
2003/08/01, 134, 13
2003/08/02, 133, 13
2003/08/04, 133, 13
2003/08/07, 133, 13
2003/08/08, 133, 13
2003/08/09, 133, 13
2003/08/10, 133, 13
2003/08/11, 134, 13
2003/08/12, 134, 13
2003/08/22, 136, 13
2003/08/23, 137, 13
2003/08/24, 136, 13
2003/08/27, 136, 13
2003/08/28, 136, 13
2003/08/29, 136, 13
2003/09/01, 136, 13
2003/09/02, 136, 13
2003/09/03, 136, 13
2003/09/04, 136, 13
2003/09/08, 136, 13
2003/09/11, 135, 13
2003/09/12, 136, 13
2003/09/14, 137, 13
2003/09/15, 138, 13
2003/09/17, 138, 13
2003/09/18, 138, 13
2003/09/19, 138, 13
2003/09/20, 138, 13
2003/09/21, 138, 13
2003/09/22, 138, 13
2003/09/23, 138, 13
2003/09/24, 137, 13
2003/09/25, 137, 13
2003/09/26, 137, 13
2003/09/27, 138, 14
2003/09/28, 137, 14
2003/09/30, 137, 14
2003/10/02, 138, 14
2003/10/06, 138, 14
2003/10/07, 137, 14
2003/10/08, 136, 14
2003/10/09, 136, 14
2003/10/10, 134, 14
2003/10/11, 136, 15
2003/10/12, 136, 15
2003/10/13, 135, 15
2003/10/14, 134, 15
2003/10/15, 133, 15
2003/10/16, 131, 15
2003/10/17, 131, 16
2003/10/18, 132, 16
2003/10/19, 132, 16
2003/10/20, 133, 16
2003/10/21, 133, 16
2003/10/23, 132, 16
2003/10/24, 132, 16
2003/10/26, 133, 16
2003/10/27, 134, 16
2003/10/28, 133, 16
2003/10/29, 131, 16
2003/10/30, 130, 16
2003/11/03, 130, 16
2003/11/04, 129, 16
2003/11/05, 130, 16
2003/11/06, 130, 17
2003/11/07, 131, 17
2003/11/08, 132, 17
2003/11/10, 133, 17
2003/11/12, 134, 17
2003/11/16, 133, 17
2003/11/17, 133, 17
2003/11/18, 133, 17
2003/11/21, 134, 17
2003/11/22, 134, 17
2003/11/23, 135, 17
2003/11/28, 135, 17
2003/11/29, 135, 17
2003/11/30, 135, 17
2003/12/01, 134, 17
2003/12/03, 134, 17
2003/12/08, 135, 17
2003/12/11, 136, 17
2003/12/12, 136, 17
2003/12/14, 136, 17
2003/12/16, 136, 17
2003/12/17, 136, 17
2003/12/18, 136, 17
2003/12/24, 135, 17
2003/12/27, 135, 17
2003/12/28, 136, 17
2003/12/30, 136, 17
2004/01/05, 136, 17
2004/01/06, 138, 17
2004/01/11, 138, 17
2004/01/12, 139, 17
2004/01/13, 140, 17
2004/01/16, 141, 17
2004/01/18, 141, 17
2004/01/20, 140, 17
2004/01/21, 140, 17
2004/01/27, 139, 17
2004/01/28, 138, 17
2004/01/29, 138, 17
2004/02/03, 138, 17
2004/02/04, 137, 17
2004/02/05, 138, 17
2004/02/10, 137, 17
2004/02/11, 138, 17
2004/02/12, 138, 17
2004/02/13, 139, 17
2004/02/22, 138, 17
2004/02/23, 138, 17
2004/02/26, 138, 17
2004/03/01, 139, 17
2004/03/02, 139, 17
2004/03/05, 139, 17
2004/03/08, 139, 17
2004/03/09, 140, 17
2004/03/22, 141, 17
2004/03/24, 141, 17
2004/03/25, 142, 18
2004/03/26, 143, 18
2004/03/28, 144, 18
2004/03/29, 143, 18
2004/03/30, 144, 18
2004/03/31, 144, 18
2004/04/03, 144, 18
2004/04/04, 145, 19
2004/04/07, 144, 20
2004/04/08, 145, 20
2004/04/09, 145, 20
