Special objects (blue book vs.
	Smalltalk recreateSpecialObjectsArray)

0	nil
1	false
2	true
3	SchedulerAssociationPointer
4	Bitmap class
5	SmallInteger class
6	String class
7	Array class
8	Smalltalk
9	Float class
10	MethodContext class
11	BlockContext class
12	Point class
13	LargePositiveInteger class
14	Display class
15	Message class
16	CompiledMethod class
17	(low space semaphore)
18	Semaphore class
19	Character class
20	#doesNotUnderstand:
21	#cannotReturn:
22	nil (was #mustBeBoolean in blue book)
23	Special selectors array
24	Character table array
25	#mustBeBoolean
26	ByteArray class
27	Process class
28	Compact classes array
29	(delay semaphore)
30	(user interrupt semaphore)
31	Float zero
32	LargePositiveInteger zero
33	Point new (=zero)
34	#cannotInterpret:
35	(MethodContext new: CompiledMethod fullFrameSize)
36	nil?
37	(BlockContext new: CompiledMethod fullFrameSize).
38	Array new (=zero)
39	PseudoContext class
40	TranslatedMethod class
41	(finalization sempahore)
42	LargeNegativeInteger class
43	..
44	..
45	..
46	..
47	..
48	..
49	stuff
