Activity on comp.lang.python
number of mentions, "pypy", "py.test"
2003-1, 112, 0
2003-2, 78, 5
2003-3, 1, 0
2003-4, 2, 0
2003-5, 2, 0
2003-6, 32, 0
2003-7, 23, 0
2003-8, 23, 0
2003-9, 30, 0
2003-10, 46, 0
2003-11, 42, 0
2003-12, 14, 0
2004-1, 41, 0
2004-2, 10, 0
2004-3, 18, 0
2004-4, 30, 0
2004-5, 8, 0
2004-6, 4, 0
2004-7, 19, 0
2004-8, 22, 0
2004-9, 0, 0
2004-10, 55, 0
2004-11, 9, 16
2004-12, 36, 5
2005-1, 50, 1
2005-2, 65, 23
2005-3, 12, 0
2005-4, 23, 128
2005-5, 245, 4
2005-6, 37, 4
2005-7, 20, 1
2005-8, 134, 9
2005-9, 68, 3
2005-10, 39, 0
2005-11, 102, 9
2005-12, 173, 5
2006-1, 90, 21
2006-2, 77, 14
2006-3, 42, 9
2006-4, 37, 3
2006-5, 7, 3
2006-6, 100, 2
2006-7, 75, 4
2006-8, 18, 0
2006-9, 57, 11
2006-10, 15, 0
2006-11, 98, 0
2006-12, 47, 0
2007-1, 35, 1
2007-2, 77, 5
2007-3, 273, 0
